,long,lat,variety,seeding_rate,seed_spacing,speed,yield
135,-91.84997,40.37769,,,,,243.96124
136,-91.84997,40.3777,,,,,241.56702
137,-91.84997,40.37771,,,,,247.6113
138,-91.84997,40.37773,,,,,225.81134
139,-91.84997,40.37774,,,,,223.87874
140,-91.84997,40.37775,,,,,238.82503
141,-91.84997,40.37777,,,,,221.07898
142,-91.84997,40.37778,,,,,228.03053
143,-91.84997,40.37779,,,,,227.17267
144,-91.84997,40.37781,,,,,219.26835
145,-91.84997,40.37782,,,,,231.71606
146,-91.84997,40.37783,,,,,209.56516
147,-91.84997,40.37785,,,,,221.91904
148,-91.84997,40.37786,,,,,243.49331
149,-91.84997,40.37787,,,,,234.93129
150,-91.84997,40.37789,,,,,232.35083
151,-91.84997,40.3779,,,,,230.73144
152,-91.84997,40.37791,,,,,228.3597
153,-91.84997,40.37793,,,,,236.28372
154,-91.84996,40.37794,,,,,223.88858
155,-91.84996,40.37795,,,,,233.93399
156,-91.84996,40.37797,,,,,230.99019
157,-91.84996,40.37798,,,,,231.9596
158,-91.84996,40.37799,,,,,224.69262
159,-91.84996,40.37801,,,,,225.17579
160,-91.84996,40.37802,,,,,221.82934
161,-91.84996,40.37803,,,,,225.57119
162,-91.84996,40.37805,,,,,219.04398
163,-91.84996,40.37806,,,,,231.46765
164,-91.84996,40.37807,,,,,230.562
165,-91.84996,40.37809,,,,,231.95936
166,-91.84996,40.3781,,,,,241.89223
167,-91.84996,40.37811,,,,,220.88072
168,-91.84996,40.37813,,,,,226.67646
169,-91.84996,40.37814,,,,,233.66206
170,-91.84996,40.37815,,,,,224.25774
171,-91.84996,40.37817,,,,,225.15228
172,-91.84996,40.37818,,,,,218.53282
173,-91.84996,40.37819,,,,,218.30233
174,-91.84996,40.37821,,,,,216.15542
175,-91.84996,40.37822,,,,,209.32739
176,-91.84996,40.37823,,,,,224.63704
177,-91.84996,40.37825,,,,,234.64847
178,-91.84996,40.37826,,,,,244.94777
179,-91.84996,40.37827,,,,,259.33323
